surface_id,risk,category,public_safe_description,applicable_families,primary_tasks,runtime_oracle,evidence_status,scenario_ids,scenario_count
SURF-LAUNCHER-003,R0,launcher_windows,Launcher windows/focus/app launch-return,FogPlay Stick,048,window/state/focus ledger,hypothesis_until_runtime_or_sanitized_artifact,QA-048-006;QA-048-007;QA-048-008;QA-048-009,4
SURF-LAUNCHER-004,R1,launcher_setup_services,Setup/service/recovery/system overlays,FogPlay Stick,"048,050,051,054",safe observable state,hypothesis_until_runtime_or_sanitized_artifact,QA-048-010;QA-048-011;QA-048-012;QA-048-015;QA-050-016;QA-051-016,6
SURF-IPC-001,R1,system_service,Observable service/provider availability,FogPlay Stick,048,category-level package/system state,hypothesis_until_runtime_or_sanitized_artifact,QA-048-013,1
SURF-IPC-002,R1,component_guard,Safe malformed/unauthorized component rejection,approved public components only,048,deny/no crash; boundary otherwise,hypothesis_until_runtime_or_sanitized_artifact,QA-048-014,1
SURF-INSTALL-001,R0,install,APK intake/install/reinstall/package integrity,all,"041,042,044,046,047,048,050,055",local metadata and launch,hypothesis_until_runtime_or_sanitized_artifact,QA-041-016;QA-042-001;QA-042-002;QA-042-003;QA-042-004;QA-044-001;QA-046-001;QA-047-001;QA-048-003;QA-050-001;QA-050-002;QA-050-003,12
SURF-INSTALL-002,R1,update,Update/conflict/previous-bundle behavior,all applicable,050,before/after state; no bypass,hypothesis_until_runtime_or_sanitized_artifact,QA-050-004;QA-050-005;QA-050-006,3
SURF-COMPAT-001,R0,device_equivalence,TV/STB representative and equivalence devices,TV/STB,"042,046,047,053",selected delta evidence,hypothesis_until_runtime_or_sanitized_artifact,QA-042-010;QA-042-011;QA-042-013;QA-042-014;QA-042-016;QA-046-014;QA-047-014;QA-053-001;QA-053-002;QA-053-003;QA-053-004;QA-053-009;QA-053-010;QA-053-015,14
SURF-COMPAT-002,R1,os_oem,OS/OEM compatibility boundaries,all,"046,047,053",risk-based selected results,hypothesis_until_runtime_or_sanitized_artifact,QA-046-013;QA-047-013;QA-053-005;QA-053-006;QA-053-007;QA-053-008;QA-053-014,7
SURF-LOC-001,R1,localization,Locale/fallback/text behavior,TV/phone,053,selected screens and reset,hypothesis_until_runtime_or_sanitized_artifact,QA-053-011,1
SURF-USABILITY-001,R1,visual_usability,"Layout, FHD/4K, font scale, screenshot/tree mismatches",all,"044,046,047,049,053",visual evidence and critical action visibility,hypothesis_until_runtime_or_sanitized_artifact,QA-044-030;QA-046-015;QA-047-015;QA-049-016;QA-053-009;QA-053-012;QA-053-013,7
SURF-PERF-001,R0,stability,"Startup responsiveness, crash and ANR",all,"044,046,047,048,054",bounded timing and signals,hypothesis_until_runtime_or_sanitized_artifact,QA-044-029;QA-046-016;QA-047-016;QA-048-018;QA-054-001;QA-054-002;QA-054-003;QA-054-004;QA-054-013;QA-054-014,10
SURF-PERF-002,R1,soak_resources,"Repeated cycles, resources and bounded soak",all,"051,054",budgeted cycle ledger,hypothesis_until_runtime_or_sanitized_artifact,QA-051-018;QA-054-005;QA-054-006;QA-054-007;QA-054-008;QA-054-009;QA-054-010;QA-054-011;QA-054-012;QA-054-015;QA-054-016,11
SURF-LOG-001,R0,privacy_logging,Evidence/log redaction,all,"041,042,044,045,046,047,048,050,051,052,053,054,055",public-safe category summary,hypothesis_until_runtime_or_sanitized_artifact,QA-041-010;QA-042-017;QA-043-016;QA-044-028;QA-045-021;QA-046-016;QA-047-016;QA-048-017;QA-050-018;QA-051-017;QA-052-021;QA-053-017;QA-054-017;QA-055-023,14
SURF-RELEASE-001,R0,release_gate,Evidence freshness/integrity and fail-closed release status,all,"041,043,044,045,048,049,050,051,052,053,054,055",authoritative evidence only,hypothesis_until_runtime_or_sanitized_artifact,QA-041-001;QA-041-002;QA-041-003;QA-041-004;QA-041-005;QA-041-006;QA-041-007;QA-041-008;QA-041-009;QA-041-010;QA-041-017;QA-042-004;QA-043-005;QA-043-006;QA-043-007;QA-043-008;QA-043-009;QA-043-010;QA-043-011;QA-044-032;QA-045-022;QA-046-017;QA-047-017;QA-048-019;QA-049-023;QA-050-019;QA-050-020;QA-051-019;QA-051-020;QA-052-022;QA-053-016;QA-053-018;QA-054-018;QA-055-001;QA-055-002;QA-055-006;QA-055-007;QA-055-008;QA-055-009;QA-055-010;QA-055-011;QA-055-012;QA-055-013;QA-055-014;QA-055-015;QA-055-016;QA-055-017;QA-055-018;QA-055-019;QA-055-020;QA-055-021;QA-055-024,52
SURF-RELEASE-002,R0,coverage_selector,Risk/family/device/scenario traceability and selection,all,"041,042,043,049,055",machine-readable selector and gap report,hypothesis_until_runtime_or_sanitized_artifact,QA-041-011;QA-041-012;QA-041-013;QA-041-014;QA-041-015;QA-041-018;QA-042-018;QA-043-001;QA-043-002;QA-043-003;QA-043-004;QA-043-012;QA-043-013;QA-043-014;QA-043-015;QA-043-017;QA-043-018;QA-049-001;QA-049-019;QA-049-020;QA-049-021;QA-049-022;QA-049-024;QA-055-003;QA-055-004;QA-055-005;QA-055-022,27
